MouseName,MouseId,HumanName,HumanId,RatName,RatId,FlyName,FlyId,FishName,FishId,YeastName,YeastId,homologId,COSMIC,CGC,Study,PubMedId,Effect,CISAddress,Rank,Cancer,Studies
Acadm,11364,NA,NA,Acadm,24158,CG12262,38864,acadm,406283,NA,NA,3,FALSE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,3:153922358-153944432,D,Liver Cancer,1
Acadvl,11370,ACADVL,37,Acadvl,25363,CG7461,37217,acadvl,573723,NA,NA,5,TRUE,FALSE,Guo 2016-01,26676752,N/A,11:70010183-70015411,D,Blood Cancer,1
Acat1,110446,ACAT1,38,Acat1,25014,CG10932,31695,acat1,445290,ERG10,856079,6,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,9:53580521-53610350,C,Liver Cancer,2
Acat1,110446,ACAT1,38,Acat1,25014,CG10932,31695,acat1,445290,ERG10,856079,6,TRUE,FALSE,Kodama 2016-01,27178121,N/A,9:53580522-53610382,C,Liver Cancer,2
Acvr1,11477,ACVR1,90,Acvr1,79558,sax,35731,acvr1l,30615,NA,NA,7,TRUE,TRUE,Bard-Chapeau 2014-01,24316982,N/A,2:58446437-58566828,D,Liver Cancer,4
Acvr1,11477,ACVR1,90,Acvr1,79558,sax,35731,acvr1l,30615,NA,NA,7,TRUE,TRUE,Kodama 2016-01,27178121,N/A,2:58388644-58567157,D,Liver Cancer,4
Acvr1,11477,ACVR1,90,Acvr1,79558,sax,35731,acvr1l,30615,NA,NA,7,TRUE,TRUE,Rangel 2016-01,27849608,N/A,2:58388644-58567157,C,Breast Cancer,4
Acvr1,11477,ACVR1,90,Acvr1,79558,sax,35731,acvr1l,30615,NA,NA,7,TRUE,TRUE,Takeda 2016-01,27006499,Loss,2:58497813-58522894,C,Gastric Cancer,4
Adsl,11564,ADSL,158,Adsl,315150,CG3590,42051,adsl,334431,ADE13,851073,12,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,2
Adsl,11564,ADSL,158,Adsl,315150,CG3590,42051,adsl,334431,ADE13,851073,12,TRUE,FALSE,Van der Weyden 2013-02,22370638,N/A,,N/A,Blood Cancer,2
Alad,17025,ALAD,210,Alad,25374,Pbgs,39402,alad,550338,HEM2,852842,16,TRUE,FALSE,Guo 2016-01,26676752,N/A,4:62509169-62519918,B,Blood Cancer,3
Alad,17025,ALAD,210,Alad,25374,Pbgs,39402,alad,550338,HEM2,852842,16,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,3
Alad,17025,ALAD,210,Alad,25374,Pbgs,39402,alad,550338,HEM2,852842,16,TRUE,FALSE,Morris 2016-01,27790711,N/A,4:62478166-62519166,B,Colorectal Cancer,3
